;Origen;Destino
EC:5.1.3.3;alpha-D-glucose [CPD:C00267]
EC:6.3.5.4;"ATP [CPD:C00002];"
EC:6.3.5.4;"L-aspartate [CPD:C00049];"
EC:6.3.5.4;"L-glutamine [CPD:C00064];"
EC:6.3.5.4;"H2O [CPD:C00001];"
EC:6.3.5.4;NH3 [CPD:C00014]
"AMP [CPD:C00020];";EC:6.3.5.4
"diphosphate [CPD:C00013];";EC:6.3.5.4
"L-asparagine [CPD:C00152];";EC:6.3.5.4
"L-glutamate [CPD:C00025];";EC:6.3.5.4
NH3 [CPD:C00014];EC:6.3.5.4
EC:3.5.1.1;"L-asparagine [CPD:C00152];"
EC:3.5.1.1;H2O [CPD:C00001]
"L-aspartate [CPD:C00049];";EC:3.5.1.1
NH3 [CPD:C00014];EC:3.5.1.1
EC:2.1.2.1;"5,10-methylenetetrahydrofolate [CPD:C00143];"
EC:2.1.2.1;"glycine [CPD:C00037];"
EC:2.1.2.1;H2O [CPD:C00001]
"tetrahydrofolate [CPD:C00101];";EC:2.1.2.1
L-serine [CPD:C00065];EC:2.1.2.1
EC:4.3.1.19;"L-threonine [CPD:C00188];"
EC:4.3.1.19;"2-aminobut-2-enoate [CPD:C17234];"
EC:4.3.1.19;"2-iminobutanoate [CPD:C20905];"
EC:4.3.1.19;H2O [CPD:C00001]
"2-oxobutanoate [CPD:C00109];";EC:4.3.1.19
"NH3 [CPD:C00014];";EC:4.3.1.19
"2-aminobut-2-enoate [CPD:C17234];";EC:4.3.1.19
"H2O [CPD:C00001];";EC:4.3.1.19
2-iminobutanoate [CPD:C20905];EC:4.3.1.19
EC:3.1.3.3;"O-phospho-L-serine [CPD:C01005];"
EC:3.1.3.3;"O-phospho-D-serine [CPD:C02532];"
EC:3.1.3.3;H2O [CPD:C00001]
"L-serine [CPD:C00065];";EC:3.1.3.3
"D-serine [CPD:C00740];";EC:3.1.3.3
phosphate [CPD:C00009];EC:3.1.3.3
EC:2.1.2.10;"[protein]-S8-aminomethyldihydrolipoyllysine [CPD:C01242];"
EC:2.1.2.10;tetrahydrofolate [CPD:C00101]
"[protein]-dihydrolipoyllysine;";EC:2.1.2.10
"5,10-methylenetetrahydrofolate [CPD:C00143];";EC:2.1.2.10
NH3 [CPD:C00014];EC:2.1.2.10
EC:1.4.4.2;"glycine [CPD:C00037];"
EC:1.4.4.2;[glycine-cleavage complex H protein]-N6-lipoyl-L-lysine [CPD:C02051]
"[glycine-cleavage complex H protein]-S-aminomethyl-N6-dihydrolipoyl-L-lysine [CPD:C01242];";EC:1.4.4.2
CO2 [CPD:C00011];EC:1.4.4.2
EC:4.2.3.1;"O-phospho-L-homoserine [CPD:C01102];"
EC:4.2.3.1;H2O [CPD:C00001]
"L-threonine [CPD:C00188];";EC:4.2.3.1
phosphate [CPD:C00009];EC:4.2.3.1
EC:2.7.1.39;"ATP [CPD:C00002];"
EC:2.7.1.39;L-homoserine [CPD:C00263]
"ADP [CPD:C00008];";EC:2.7.1.39
O-phospho-L-homoserine [CPD:C01102];EC:2.7.1.39
EC:1.1.1.3;"L-homoserine [CPD:C00263];"
EC:1.1.1.3;"NAD+ [CPD:C00003];"
EC:1.1.1.3;NADP+ [CPD:C00006]
"L-aspartate 4-semialdehyde [CPD:C00441];";EC:1.1.1.3
"NADH [CPD:C00004];";EC:1.1.1.3
"NADPH [CPD:C00005];";EC:1.1.1.3
H+ [CPD:C00080];EC:1.1.1.3
EC:1.2.1.11;"L-aspartate 4-semialdehyde [CPD:C00441];"
EC:1.2.1.11;"phosphate [CPD:C00009];"
EC:1.2.1.11;NADP+ [CPD:C00006]
"L-4-aspartyl phosphate [CPD:C03082];";EC:1.2.1.11
"NADPH [CPD:C00005];";EC:1.2.1.11
H+ [CPD:C00080];EC:1.2.1.11
EC:2.7.2.4;"ATP [CPD:C00002];"
EC:2.7.2.4;L-aspartate [CPD:C00049]
"ADP [CPD:C00008];";EC:2.7.2.4
4-phospho-L-aspartate [CPD:C03082];EC:2.7.2.4
EC:2.3.1.29;"acetyl-CoA [CPD:C00024];"
EC:2.3.1.29;glycine [CPD:C00037]
"CoA [CPD:C00010];";EC:2.3.1.29
L-2-amino-3-oxobutanoate [CPD:C03508];EC:2.3.1.29
EC:4.2.1.20;"L-serine [CPD:C00065];"
EC:4.2.1.20;"1-C-(indol-3-yl)glycerol 3-phosphate [CPD:C03506];"
EC:4.2.1.20;indole [CPD:C00463]
"L-tryptophan [CPD:C00078];";EC:4.2.1.20
"D-glyceraldehyde 3-phosphate [CPD:C00118];";EC:4.2.1.20
"H2O [CPD:C00001];";EC:4.2.1.20
indole [CPD:C00463];EC:4.2.1.20
EC:1.1.1.29;"D-glycerate [CPD:C00258];"
EC:1.1.1.29;NAD+ [CPD:C00003]
"hydroxypyruvate [CPD:C00168];";EC:1.1.1.29
"NADH [CPD:C00004];";EC:1.1.1.29
H+ [CPD:C00080];EC:1.1.1.29
EC:4.4.1.1;"L-cystathionine [CPD:C02291];"
EC:4.4.1.1;"H2O [CPD:C00001];"
EC:4.4.1.1;"2-aminobut-2-enoate [CPD:C17234];"
EC:4.4.1.1;2-iminobutanoate [CPD:C20905]
"L-cysteine [CPD:C00097];";EC:4.4.1.1
"2-oxobutanoate [CPD:C00109];";EC:4.4.1.1
"NH3 [CPD:C00014];";EC:4.4.1.1
"2-aminobut-2-enoate [CPD:C17234];";EC:4.4.1.1
2-iminobutanoate [CPD:C20905];EC:4.4.1.1
EC:2.5.1.47;"O-acetyl-L-serine [CPD:C00979];"
EC:2.5.1.47;hydrogen sulfide [CPD:C00283]
"L-cysteine [CPD:C00097];";EC:2.5.1.47
acetate [CPD:C00033];EC:2.5.1.47
EC:2.5.1.48;"O4-succinyl-L-homoserine [CPD:C01118];"
EC:2.5.1.48;L-cysteine [CPD:C00097]
"L-cystathionine [CPD:C02291];";EC:2.5.1.48
succinate [CPD:C00042];EC:2.5.1.48
EC:2.1.1.14;"5-methyltetrahydropteroyltri-L-glutamate [CPD:C04489];"
EC:2.1.1.14;L-homocysteine [CPD:C00155]
"tetrahydropteroyltri-L-glutamate [CPD:C04144];";EC:2.1.1.14
L-methionine [CPD:C00073];EC:2.1.1.14
EC:3.3.1.1;"S-adenosyl-L-homocysteine [CPD:C00021];"
EC:3.3.1.1;H2O [CPD:C00001]
"L-homocysteine [CPD:C00155];";EC:3.3.1.1
adenosine [CPD:C00212];EC:3.3.1.1
EC:1.8.4.14;"L-methionine [CPD:C00073];"
EC:1.8.4.14;"thioredoxin disulfide [CPD:C00343];"
EC:1.8.4.14;H2O [CPD:C00001]
"L-methionine (R)-S-oxide [CPD:C15998];";EC:1.8.4.14
thioredoxin [CPD:C00342];EC:1.8.4.14
EC:2.5.1.6;"ATP [CPD:C00002];"
EC:2.5.1.6;"L-methionine [CPD:C00073];"
EC:2.5.1.6;H2O [CPD:C00001]
"phosphate [CPD:C00009];";EC:2.5.1.6
"diphosphate [CPD:C00013];";EC:2.5.1.6
S-adenosyl-L-methionine [CPD:C00019];EC:2.5.1.6
EC:4.1.1.50;S-adenosyl-L-methionine [CPD:C00019]
"S-adenosyl 3-(methylsulfanyl)propylamine [CPD:C01137];";EC:4.1.1.50
CO2 [CPD:C00011];EC:4.1.1.50
EC:2.5.1.16;"S-adenosyl 3-(methylsulfanyl)propylamine [CPD:C01137];"
EC:2.5.1.16;putrescine [CPD:C00134]
"S-methyl-5'-thioadenosine [CPD:C00170];";EC:2.5.1.16
spermidine [CPD:C00315];EC:2.5.1.16
EC:2.4.2.28;"S-methyl-5'-thioadenosine [CPD:C00170];"
EC:2.4.2.28;phosphate [CPD:C00009]
"adenine [CPD:C00147];";EC:2.4.2.28
S-methyl-5-thio-alpha-D-ribose 1-phosphate [CPD:C04188];EC:2.4.2.28
EC:4.4.1.24;(2R)-3-sulfolactate [CPD:C11537]
"pyruvate [CPD:C00022];";EC:4.4.1.24
hydrogensulfite;EC:4.4.1.24
EC:3.5.4.31 3.5.4.28;"S-methyl-5'-thioadenosine [CPD:C00170];"
EC:3.5.4.31 3.5.4.28;H2O [CPD:C00001]
"S-methyl-5'-thioinosine [CPD:C19787];";EC:3.5.4.31 3.5.4.28
NH3 [CPD:C00014];EC:3.5.4.31 3.5.4.28
EC:1.3.8.4;"isovaleryl-CoA [CPD:C02939];"
EC:1.3.8.4;electron-transfer flavoprotein [CPD:C04253]
"3-methylcrotonyl-CoA [CPD:C03069];";EC:1.3.8.4
reduced electron-transfer flavoprotein [CPD:C04570];EC:1.3.8.4
EC:1.2.7.7;"3-methyl-2-oxobutanoate [CPD:C00141];"
EC:1.2.7.7;"CoA [CPD:C00010];"
EC:1.2.7.7;oxidized ferredoxin [CPD:C00139]
"S-(2-methylpropanoyl)-CoA;";EC:1.2.7.7
"CO2 [CPD:C00011];";EC:1.2.7.7
"reduced ferredoxin [CPD:C00138];";EC:1.2.7.7
H+ [CPD:C00080];EC:1.2.7.7
EC:1.1.1.31;"3-hydroxy-2-methylpropanoate [CPD:C01188];"
EC:1.1.1.31;NAD+ [CPD:C00003]
"2-methyl-3-oxopropanoate [CPD:C00349];";EC:1.1.1.31
"NADH [CPD:C00004];";EC:1.1.1.31
H+ [CPD:C00080];EC:1.1.1.31
EC:2.2.1.6;pyruvate [CPD:C00022]
"2-acetolactate [CPD:C00900];";EC:2.2.1.6
CO2 [CPD:C00011];EC:2.2.1.6
EC:4.1.1.19;L-arginine [CPD:C00062]
"agmatine [CPD:C00179];";EC:4.1.1.19
CO2 [CPD:C00011];EC:4.1.1.19
EC:3.5.3.11;"agmatine [CPD:C00179];"
EC:3.5.3.11;H2O [CPD:C00001]
"putrescine [CPD:C00134];";EC:3.5.3.11
urea [CPD:C00086];EC:3.5.3.11
EC:1.5.1.2;"L-proline [CPD:C00148];"
EC:1.5.1.2;"NAD+ [CPD:C00003];"
EC:1.5.1.2;NADP+ [CPD:C00006]
"1-pyrroline-5-carboxylate [CPD:C03912];";EC:1.5.1.2
"NADH [CPD:C00004];";EC:1.5.1.2
"NADPH [CPD:C00005];";EC:1.5.1.2
H+ [CPD:C00080];EC:1.5.1.2
EC:3.4.11.5;EC 3.4.11.5 created 1965 as EC 3.4.1.4, transferred 1972 to EC 3.4.11.5
EC:4.2.1.49;3-(5-oxo-4,5-dihydro-3H-imidazol-4-yl)propanoate
"urocanate [CPD:C00785];";EC:4.2.1.49
H2O [CPD:C00001];EC:4.2.1.49
EC:4.3.1.3;L-histidine [CPD:C00135]
"urocanate [CPD:C00785];";EC:4.3.1.3
NH3 [CPD:C00014];EC:4.3.1.3
EC:3.5.2.7;"(S)-3-(5-oxo-4,5-dihydro-3H-imidazol-4-yl)propanoate;"
EC:3.5.2.7;H2O [CPD:C00001]
"N-formimidoyl-L-glutamate [CPD:C00439];";EC:3.5.2.7
H+ [CPD:C00080];EC:3.5.2.7
EC:2.1.2.5 6.3.3.2;"5-formimidoyltetrahydrofolate [CPD:C00664];"
EC:2.1.2.5 6.3.3.2;L-glutamate [CPD:C00025]
"tetrahydrofolate [CPD:C00101];";EC:2.1.2.5 6.3.3.2
N-formimidoyl-L-glutamate [CPD:C00439];EC:2.1.2.5 6.3.3.2
EC:1.1.1.157;"(S)-3-hydroxybutanoyl-CoA [CPD:C01144];"
EC:1.1.1.157;NADP+ [CPD:C00006]
"3-acetoacetyl-CoA [CPD:C00332];";EC:1.1.1.157
"NADPH [CPD:C00005];";EC:1.1.1.157
H+ [CPD:C00080];EC:1.1.1.157
EC:4.2.3.4;3-deoxy-D-arabino-hept-2-ulosonate 7-phosphate [CPD:C04691]
"3-dehydroquinate [CPD:C00944];";EC:4.2.3.4
phosphate [CPD:C00009];EC:4.2.3.4
EC:2.5.1.54;"phosphoenolpyruvate [CPD:C00074];"
EC:2.5.1.54;"D-erythrose 4-phosphate [CPD:C00279];"
EC:2.5.1.54;H2O [CPD:C00001]
"3-deoxy-D-arabino-hept-2-ulosonate 7-phosphate [CPD:C04691];";EC:2.5.1.54
phosphate [CPD:C00009];EC:2.5.1.54
EC:4.2.1.10;3-dehydroquinate [CPD:C00944]
"3-dehydroshikimate [CPD:C02637];";EC:4.2.1.10
H2O [CPD:C00001];EC:4.2.1.10
EC:1.1.1.25;"shikimate [CPD:C00493];"
EC:1.1.1.25;NADP+ [CPD:C00006]
"3-dehydroshikimate [CPD:C02637];";EC:1.1.1.25
"NADPH [CPD:C00005];";EC:1.1.1.25
H+ [CPD:C00080];EC:1.1.1.25
EC:2.7.1.71;"ATP [CPD:C00002];"
EC:2.7.1.71;shikimate [CPD:C00493]
"ADP [CPD:C00008];";EC:2.7.1.71
3-phosphoshikimate;EC:2.7.1.71
EC:2.5.1.19;"phosphoenolpyruvate [CPD:C00074];"
EC:2.5.1.19;3-phosphoshikimate
"phosphate [CPD:C00009];";EC:2.5.1.19
5-O-(1-carboxyvinyl)-3-phosphoshikimate [CPD:C01269];EC:2.5.1.19
EC:4.2.3.5;5-O-(1-carboxyvinyl)-3-phosphoshikimate [CPD:C01269]
"chorismate [CPD:C00251];";EC:4.2.3.5
phosphate [CPD:C00009];EC:4.2.3.5
EC:4.1.3.27;"chorismate [CPD:C00251];"
EC:4.1.3.27;L-glutamine [CPD:C00064]
"anthranilate [CPD:C00108];";EC:4.1.3.27
"pyruvate [CPD:C00022];";EC:4.1.3.27
L-glutamate [CPD:C00025];EC:4.1.3.27
EC:2.4.2.18;"N-(5-phospho-D-ribosyl)-anthranilate;"
EC:2.4.2.18;diphosphate [CPD:C00013]
"anthranilate [CPD:C00108];";EC:2.4.2.18
5-phospho-alpha-D-ribose 1-diphosphate [CPD:C00119];EC:2.4.2.18
EC:5.3.1.24;N-(5-phospho-beta-D-ribosyl)anthranilate [CPD:C04302]
1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate [CPD:C01302];EC:5.3.1.24
EC:4.1.1.48;1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate [CPD:C01302]
"1-C-(indol-3-yl)glycerol 3-phosphate [CPD:C03506];";EC:4.1.1.48
"CO2 [CPD:C00011];";EC:4.1.1.48
H2O [CPD:C00001];EC:4.1.1.48
EC:4.2.1.20;"L-serine [CPD:C00065];"
EC:4.2.1.20;"1-C-(indol-3-yl)glycerol 3-phosphate [CPD:C03506];"
EC:4.2.1.20;indole [CPD:C00463]
"L-tryptophan [CPD:C00078];";EC:4.2.1.20
"D-glyceraldehyde 3-phosphate [CPD:C00118];";EC:4.2.1.20
"H2O [CPD:C00001];";EC:4.2.1.20
indole [CPD:C00463];EC:4.2.1.20
EC:4.2.1.51;prephenate [CPD:C00254]
"phenylpyruvate [CPD:C00166];";EC:4.2.1.51
"H2O [CPD:C00001];";EC:4.2.1.51
CO2 [CPD:C00011];EC:4.2.1.51
EC:2.6.1.19;"4-aminobutanoate [CPD:C00334];"
EC:2.6.1.19;2-oxoglutarate [CPD:C00026]
"succinate semialdehyde [CPD:C00232];";EC:2.6.1.19
L-glutamate [CPD:C00025];EC:2.6.1.19
EC:6.1.1.10;"ATP [CPD:C00002];"
EC:6.1.1.10;"L-methionine [CPD:C00073];"
EC:6.1.1.10;tRNA(Met) [CPD:C01647]
"AMP [CPD:C00020];";EC:6.1.1.10
"diphosphate [CPD:C00013];";EC:6.1.1.10
L-methionyl-tRNA(Met) [CPD:C02430];EC:6.1.1.10
EC:1.8.1.9;"thioredoxin [CPD:C00342];"
EC:1.8.1.9;NADP+ [CPD:C00006]
"thioredoxin disulfide [CPD:C00343];";EC:1.8.1.9
"NADPH [CPD:C00005];";EC:1.8.1.9
H+ [CPD:C00080];EC:1.8.1.9
EC:2.3.2.2 3.4.19.13;"(5-L-glutamyl)-peptide [CPD:C03193];"
EC:2.3.2.2 3.4.19.13;amino acid [CPD:C00045]
"peptide [CPD:C00012];";EC:2.3.2.2 3.4.19.13
5-L-glutamyl amino acid [CPD:C03363];EC:2.3.2.2 3.4.19.13
EC:2.4.1.15 2.4.1.347;"UDP-alpha-D-glucose [CPD:C00029];"
EC:2.4.1.15 2.4.1.347;D-glucose 6-phosphate [CPD:C00092]
"UDP [CPD:C00015];";EC:2.4.1.15 2.4.1.347
alpha,alpha'-trehalose 6-phosphate [CPD:C00689];EC:2.4.1.15 2.4.1.347
EC:3.1.3.12;"alpha,alpha'-trehalose 6-phosphate [CPD:C00689];"
EC:3.1.3.12;H2O [CPD:C00001]
"alpha,alpha-trehalose [CPD:C01083];";EC:3.1.3.12
phosphate [CPD:C00009];EC:3.1.3.12
EC:2.4.1.12;"UDP-alpha-D-glucose [CPD:C00029];"
EC:2.4.1.12;[(1->4)-beta-D-glucosyl]n
"UDP [CPD:C00015];";EC:2.4.1.12
[(1->4)-beta-D-glucosyl]n+1;EC:2.4.1.12
EC:5.1.3.2;UDP-alpha-D-glucose [CPD:C00029]
UDP-alpha-D-galactose [CPD:C00052];EC:5.1.3.2
EC:3.13.1.1;"UDP-alpha-D-sulfoquinovopyranose;"
EC:3.13.1.1;H2O [CPD:C00001]
"UDP-alpha-D-glucose [CPD:C00029];";EC:3.13.1.1
sulfite [CPD:C00094];EC:3.13.1.1
EC:2.7.7.24;"dTTP [CPD:C00459];"
EC:2.7.7.24;alpha-D-glucose 1-phosphate [CPD:C00103]
"diphosphate [CPD:C00013];";EC:2.7.7.24
dTDP-alpha-D-glucose [CPD:C00842];EC:2.7.7.24
EC:1.1.5.3;"sn-glycerol 3-phosphate [CPD:C00093];"
EC:1.1.5.3;quinone [CPD:C15602]
"glycerone phosphate [CPD:C00111];";EC:1.1.5.3
quinol [CPD:C15603];EC:1.1.5.3
EC:1.1.1.261;"sn-glycerol 1-phosphate [CPD:C00623];"
EC:1.1.1.261;"NAD+ [CPD:C00003];"
EC:1.1.1.261;NADP+ [CPD:C00006]
"glycerone phosphate [CPD:C00111];";EC:1.1.1.261
"NADH [CPD:C00004];";EC:1.1.1.261
"NADPH [CPD:C00005];";EC:1.1.1.261
H+ [CPD:C00080];EC:1.1.1.261
EC:2.5.1.41;"geranylgeranyl diphosphate [CPD:C00353];"
EC:2.5.1.41;sn-glycerol 1-phosphate [CPD:C00623]
"diphosphate [CPD:C00013];";EC:2.5.1.41
3-(O-geranylgeranyl)-sn-glycerol 1-phosphate [CPD:C04590];EC:2.5.1.41
EC:2.5.1.42;"geranylgeranyl diphosphate [CPD:C00353];"
EC:2.5.1.42;3-(O-geranylgeranyl)-sn-glycerol 1-phosphate [CPD:C04590]
"diphosphate [CPD:C00013];";EC:2.5.1.42
2,3-bis-(O-geranylgeranyl)-sn-glycerol 1-phosphate;EC:2.5.1.42
EC:2.7.7.67;"CTP [CPD:C00063];"
EC:2.7.7.67;2,3-bis-(O-geranylgeranyl)-sn-glycerol 1-phosphate
"diphosphate [CPD:C00013];";EC:2.7.7.67
CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol;EC:2.7.7.67
EC:1.3.1.101 1.3.7.11;"2,3-bis-(O-phytanyl)-sn-glycerol 1-phosphate [CPD:C20518];"
EC:1.3.1.101 1.3.7.11;"NAD+ [CPD:C00003];"
EC:1.3.1.101 1.3.7.11;NADP+ [CPD:C00006]
"2,3-bis-(O-geranylgeranyl)-sn-glycerol 1-phosphate;";EC:1.3.1.101 1.3.7.11
"NADH [CPD:C00004];";EC:1.3.1.101 1.3.7.11
"NADPH [CPD:C00005];";EC:1.3.1.101 1.3.7.11
H+ [CPD:C00080];EC:1.3.1.101 1.3.7.11
EC:1.2.5.1;"pyruvate [CPD:C00022];"
EC:1.2.5.1;"ubiquinone [CPD:C00399];"
EC:1.2.5.1;H2O [CPD:C00001]
"acetate [CPD:C00033];";EC:1.2.5.1
"CO2 [CPD:C00011];";EC:1.2.5.1
ubiquinol [CPD:C00390];EC:1.2.5.1
EC:3.6.1.7;"acylphosphate;"
EC:3.6.1.7;H2O [CPD:C00001]
"carboxylate [CPD:C00060];";EC:3.6.1.7
phosphate [CPD:C00009];EC:3.6.1.7
EC:1.1.1.38;"(S)-malate [CPD:C00149];"
EC:1.1.1.38;"NAD+ [CPD:C00003];"
EC:1.1.1.38;oxaloacetate [CPD:C00036]
"pyruvate [CPD:C00022];";EC:1.1.1.38
"CO2 [CPD:C00011];";EC:1.1.1.38
NADH [CPD:C00004];EC:1.1.1.38
EC:2.7.9.1;"ATP [CPD:C00002];"
EC:2.7.9.1;"pyruvate [CPD:C00022];"
EC:2.7.9.1;phosphate [CPD:C00009]
"AMP [CPD:C00020];";EC:2.7.9.1
"phosphoenolpyruvate [CPD:C00074];";EC:2.7.9.1
diphosphate [CPD:C00013];EC:2.7.9.1
EC:3.1.3.18;"2-phosphoglycolate [CPD:C00988];"
EC:3.1.3.18;H2O [CPD:C00001]
"glycolate [CPD:C00160];";EC:3.1.3.18
phosphate [CPD:C00009];EC:3.1.3.18
EC:1.1.3.15;"(S)-2-hydroxycarboxylate [CPD:C15565];"
EC:1.1.3.15;O2 [CPD:C00007]
"2-oxocarboxylate [CPD:C00161];";EC:1.1.3.15
H2O2 [CPD:C00027];EC:1.1.3.15
EC:5.4.99.2;(R)-methylmalonyl-CoA [CPD:C01213]
succinyl-CoA [CPD:C00091];EC:5.4.99.2
EC:4.1.3.30;(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate [CPD:C04593]
"succinate [CPD:C00042];";EC:4.1.3.30
pyruvate [CPD:C00022];EC:4.1.3.30
EC:1.5.1.5 3.5.4.9;"5,10-methylenetetrahydrofolate [CPD:C00143];"
EC:1.5.1.5 3.5.4.9;NADP+ [CPD:C00006]
"5,10-methenyltetrahydrofolate [CPD:C00445];";EC:1.5.1.5 3.5.4.9
"NADPH [CPD:C00005];";EC:1.5.1.5 3.5.4.9
H+ [CPD:C00080];EC:1.5.1.5 3.5.4.9
EC:6.3.4.3;"ATP [CPD:C00002];"
EC:6.3.4.3;"formate [CPD:C00058];"
EC:6.3.4.3;tetrahydrofolate [CPD:C00101]
"ADP [CPD:C00008];";EC:6.3.4.3
"phosphate [CPD:C00009];";EC:6.3.4.3
10-formyltetrahydrofolate [CPD:C00234];EC:6.3.4.3
EC:1.2.7.12;"formylmethanofuran [CPD:C01001];"
EC:1.2.7.12;"H2O [CPD:C00001];"
EC:1.2.7.12;oxidized ferredoxin [iron-sulfur] cluster [CPD:C00139]
"CO2 [CPD:C00011];";EC:1.2.7.12
"methanofuran [CPD:C00862];";EC:1.2.7.12
"reduced ferredoxin [iron-sulfur] cluster [CPD:C00138];";EC:1.2.7.12
H+ [CPD:C00080];EC:1.2.7.12
EC:1.17.1.9;"formate [CPD:C00058];"
EC:1.17.1.9;NAD+ [CPD:C00003]
"CO2 [CPD:C00011];";EC:1.17.1.9
NADH [CPD:C00004];EC:1.17.1.9
EC:1.17.98.3 1.8.98.6;"formate [CPD:C00058];"
EC:1.17.98.3 1.8.98.6;oxidized coenzyme F420 [CPD:C00876]
"CO2 [CPD:C00011];";EC:1.17.98.3 1.8.98.6
reduced coenzyme F420 [CPD:C01080];EC:1.17.98.3 1.8.98.6
EC:4.2.1.116;3-hydroxypropanoyl-CoA [CPD:C05668]
"acryloyl-CoA [CPD:C00894];";EC:4.2.1.116
H2O [CPD:C00001];EC:4.2.1.116
EC:1.3.1.84;"propanoyl-CoA [CPD:C00100];"
EC:1.3.1.84;NADP+ [CPD:C00006]
"acryloyl-CoA [CPD:C00894];";EC:1.3.1.84
"NADPH [CPD:C00005];";EC:1.3.1.84
H+ [CPD:C00080];EC:1.3.1.84
EC:4.2.1.17 1.1.1.35;(3S)-3-hydroxyacyl-CoA [CPD:C00640]
"trans-2-enoyl-CoA [CPD:C00658];";EC:4.2.1.17 1.1.1.35
"trans-3-enoyl-CoA [CPD:C05067];";EC:4.2.1.17 1.1.1.35
H2O [CPD:C00001];EC:4.2.1.17 1.1.1.35
EC:2.7.1.49 2.7.4.7;"ATP [CPD:C00002];"
EC:2.7.1.49 2.7.4.7;4-amino-5-hydroxymethyl-2-methylpyrimidine [CPD:C01279]
"ADP [CPD:C00008];";EC:2.7.1.49 2.7.4.7
4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine [CPD:C04556];EC:2.7.1.49 2.7.4.7
EC:2.7.4.16;"ATP [CPD:C00002];"
EC:2.7.4.16;thiamine phosphate [CPD:C01081]
"ADP [CPD:C00008];";EC:2.7.4.16
thiamine diphosphate [CPD:C00068];EC:2.7.4.16
EC:2.5.1.3;"4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine [CPD:C04752];"
EC:2.5.1.3;"2-[(2R,5Z)-2-carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate [CPD:C20246];"
EC:2.5.1.3;"2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate [CPD:C20247];"
EC:2.5.1.3;4-methyl-5-(2-phosphooxyethyl)thiazole [CPD:C04327]
"diphosphate [CPD:C00013];";EC:2.5.1.3
"thiamine phosphate [CPD:C01081];";EC:2.5.1.3
CO2 [CPD:C00011];EC:2.5.1.3
EC:2.7.7.2;"ATP [CPD:C00002];"
EC:2.7.7.2;FMN [CPD:C00061]
"diphosphate [CPD:C00013];";EC:2.7.7.2
FAD [CPD:C00016];EC:2.7.7.2
EC:2.7.1.161;"CTP [CPD:C00063];"
EC:2.7.1.161;riboflavin [CPD:C00255]
"CDP [CPD:C00112];";EC:2.7.1.161
FMN [CPD:C00061];EC:2.7.1.161
EC:6.3.1.5;"ATP [CPD:C00002];"
EC:6.3.1.5;"deamido-NAD+ [CPD:C00857];"
EC:6.3.1.5;NH3 [CPD:C00014]
"AMP [CPD:C00020];";EC:6.3.1.5
"diphosphate [CPD:C00013];";EC:6.3.1.5
NAD+ [CPD:C00003];EC:6.3.1.5
EC:2.7.1.23;"ATP [CPD:C00002];"
EC:2.7.1.23;NAD+ [CPD:C00003]
"ADP [CPD:C00008];";EC:2.7.1.23
NADP+ [CPD:C00006];EC:2.7.1.23
EC:2.7.7.1;"ATP [CPD:C00002];"
EC:2.7.7.1;nicotinamide ribonucleotide [CPD:C00455]
"diphosphate [CPD:C00013];";EC:2.7.7.1
NAD+ [CPD:C00003];EC:2.7.7.1
EC:6.3.4.21;"nicotinate [CPD:C00253];"
EC:6.3.4.21;"5-phospho-alpha-D-ribose 1-diphosphate [CPD:C00119];"
EC:6.3.4.21;"ATP [CPD:C00002];"
EC:6.3.4.21;H2O [CPD:C00001]
"beta-nicotinate D-ribonucleotide [CPD:C01185];";EC:6.3.4.21
"diphosphate [CPD:C00013];";EC:6.3.4.21
"ADP [CPD:C00008];";EC:6.3.4.21
phosphate [CPD:C00009];EC:6.3.4.21
EC:4.1.1.36 6.3.2.5;N-[(R)-4'-phosphopantothenoyl]-L-cysteine [CPD:C04352]
"pantotheine 4'-phosphate;";EC:4.1.1.36 6.3.2.5
CO2 [CPD:C00011];EC:4.1.1.36 6.3.2.5
EC:3.6.1.73;"inosine 5'-triphosphate [CPD:C00081];"
EC:3.6.1.73;"H2O [CPD:C00001];"
EC:3.6.1.73;xanthosine 5'-triphosphate [CPD:C00700]
"inosine 5'-diphosphate [CPD:C00104];";EC:3.6.1.73
"phosphate [CPD:C00009];";EC:3.6.1.73
xanthosine 5'-diphosphate [CPD:C01337];EC:3.6.1.73
EC:2.7.6.3;"ATP [CPD:C00002];"
EC:2.7.6.3;6-hydroxymethyl-7,8-dihydropterin [CPD:C01300]
"AMP [CPD:C00020];";EC:2.7.6.3
6-hydroxymethyl-7,8-dihydropterin diphosphate [CPD:C04807];EC:2.7.6.3
EC:4.1.2.25;7,8-dihydroneopterin [CPD:C04874]
"6-(hydroxymethyl)-7,8-dihydropterin [CPD:C01300];";EC:4.1.2.25
glycolaldehyde [CPD:C00266];EC:4.1.2.25
EC:2.5.1.15;"(7,8-dihydropterin-6-yl)methyl diphosphate [CPD:C04807];"
