;Origen;Destino
EC:5.1.3.3;alpha-D-glucose [CPD:C00267]
EC:2.3.1.199;malonyl-CoA [CPD:C00083]
"very-long-chain 3-oxoacyl-CoA [CPD:C20877];";EC:2.3.1.199
"CO2 [CPD:C00011];";EC:2.3.1.199
CoA [CPD:C00010];EC:2.3.1.199
EC:2.3.1.9;"acetyl-CoA [CPD:C00024];"
EC:2.3.1.9;"[acetyl-CoA C-acetyltransferase]-L-cysteine;"
EC:2.3.1.9;[acetyl-CoA C-acetyltransferase]-S-acetyl-L-cysteine
"CoA [CPD:C00010];";EC:2.3.1.9
"acetoacetyl-CoA [CPD:C00332];";EC:2.3.1.9
"[acetyl-CoA C-acetyltransferase]-S-acetyl-L-cysteine;";EC:2.3.1.9
[acetyl-CoA C-acetyltransferase]-L-cysteine;EC:2.3.1.9
EC:4.2.1.17 1.1.1.35 5.3.3.8;(3S)-3-hydroxyacyl-CoA [CPD:C00640]
"trans-2-enoyl-CoA [CPD:C00658];";EC:4.2.1.17 1.1.1.35 5.3.3.8
"trans-3-enoyl-CoA [CPD:C05067];";EC:4.2.1.17 1.1.1.35 5.3.3.8
H2O [CPD:C00001];EC:4.2.1.17 1.1.1.35 5.3.3.8
EC:1.3.8.1;"short-chain acyl-CoA [CPD:C20675];"
EC:1.3.8.1;electron-transfer flavoprotein [CPD:C04253]
"short-chain trans-2,3-dehydroacyl-CoA [CPD:C20676];";EC:1.3.8.1
reduced electron-transfer flavoprotein [CPD:C04570];EC:1.3.8.1
EC:1.3.8.7;"medium-chain acyl-CoA [CPD:C21926];"
EC:1.3.8.7;electron-transfer flavoprotein [CPD:C04253]
"medium-chain trans-2,3-dehydroacyl-CoA;";EC:1.3.8.7
reduced electron-transfer flavoprotein [CPD:C04570];EC:1.3.8.7
EC:1.3.8.6;"glutaryl-CoA [CPD:C00527];"
EC:1.3.8.6;"electron-transfer flavoprotein [CPD:C04253];"
EC:1.3.8.6;(E)-glutaconyl-CoA [CPD:C02411]
"crotonyl-CoA [CPD:C00877];";EC:1.3.8.6
"CO2 [CPD:C00011];";EC:1.3.8.6
"reduced electron-transfer flavoprotein [CPD:C04570];";EC:1.3.8.6
(E)-glutaconyl-CoA [CPD:C02411];EC:1.3.8.6
EC:1.3.8.8;"long-chain acyl-CoA [CPD:C02843];"
EC:1.3.8.8;electron-transfer flavoprotein [CPD:C04253]
"long-chain trans-2,3-dehydroacyl-CoA;";EC:1.3.8.8
reduced electron-transfer flavoprotein [CPD:C04570];EC:1.3.8.8
EC:2.3.1.21;"palmitoyl-CoA [CPD:C00154];"
EC:2.3.1.21;L-carnitine [CPD:C00318]
"CoA [CPD:C00010];";EC:2.3.1.21
L-palmitoylcarnitine [CPD:C02990];EC:2.3.1.21
EC:1.14.14.80;"long-chain fatty acid [CPD:C00638];"
EC:1.14.14.80;"[reduced NADPH---hemoprotein reductase] [CPD:C03024];"
EC:1.14.14.80;O2 [CPD:C00007]
"omega-hydroxy-long-chain fatty acid [CPD:C21886];";EC:1.14.14.80
"[oxidized NADPH---hemoprotein reductase] [CPD:C03161];";EC:1.14.14.80
H2O [CPD:C00001];EC:1.14.14.80
EC:1.3.3.6;"acyl-CoA [CPD:C00040];"
EC:1.3.3.6;O2 [CPD:C00007]
"trans-2,3-dehydroacyl-CoA [CPD:C00658];";EC:1.3.3.6
H2O2 [CPD:C00027];EC:1.3.3.6
EC:1.3.99.12;"2-methylbutanoyl-CoA [CPD:C01033];"
EC:1.3.99.12;acceptor [CPD:C00028]
"2-methylbut-2-enoyl-CoA [CPD:C03345];";EC:1.3.99.12
reduced acceptor [CPD:C00030];EC:1.3.99.12
EC:1.3.8.9;"very-long-chain acyl-CoA [CPD:C20876];"
EC:1.3.8.9;electron-transfer flavoprotein [CPD:C04253]
"very-long-chain trans-2,3-dehydroacyl-CoA [CPD:C20879];";EC:1.3.8.9
reduced electron-transfer flavoprotein [CPD:C04570];EC:1.3.8.9
EC:2.3.1.21;"palmitoyl-CoA [CPD:C00154];"
EC:2.3.1.21;L-carnitine [CPD:C00318]
"CoA [CPD:C00010];";EC:2.3.1.21
L-palmitoylcarnitine [CPD:C02990];EC:2.3.1.21
EC:4.1.3.4;(S)-3-hydroxy-3-methylglutaryl-CoA [CPD:C00356]
"acetyl-CoA [CPD:C00024];";EC:4.1.3.4
acetoacetate [CPD:C00164];EC:4.1.3.4
EC:1.1.1.30;"(R)-3-hydroxybutanoate [CPD:C01089];"
EC:1.1.1.30;NAD+ [CPD:C00003]
"acetoacetate [CPD:C00164];";EC:1.1.1.30
"NADH [CPD:C00004];";EC:1.1.1.30
H+ [CPD:C00080];EC:1.1.1.30
EC:2.8.3.5;"succinyl-CoA [CPD:C00091];"
EC:2.8.3.5;3-oxo acid [CPD:C01656]
"succinate [CPD:C00042];";EC:2.8.3.5
3-oxoacyl-CoA [CPD:C00264];EC:2.8.3.5
EC:2.3.3.10;"acetyl-CoA [CPD:C00024];"
EC:2.3.3.10;"H2O [CPD:C00001];"
EC:2.3.3.10;acetoacetyl-CoA [CPD:C00332]
"(S)-3-hydroxy-3-methylglutaryl-CoA [CPD:C00356];";EC:2.3.3.10
CoA [CPD:C00010];EC:2.3.3.10
EC:1.14.14.154 1.14.15.36;"14alpha-methylsteroid [CPD:C21918];"
EC:1.14.14.154 1.14.15.36;"[reduced NADPH---hemoprotein reductase] [CPD:C03024];"
EC:1.14.14.154 1.14.15.36;"O2 [CPD:C00007];"
EC:1.14.14.154 1.14.15.36;"14alpha-hydroxysteroid;"
EC:1.14.14.154 1.14.15.36;14alpha-formylsteroid [CPD:C21921]
"Delta14-steroid [CPD:C21919];";EC:1.14.14.154 1.14.15.36
"formate [CPD:C00058];";EC:1.14.14.154 1.14.15.36
"[oxidized NADPH---hemoprotein reductase] [CPD:C03161];";EC:1.14.14.154 1.14.15.36
"H2O [CPD:C00001];";EC:1.14.14.154 1.14.15.36
"14alpha-hydroxymethylsteroid [CPD:C21920];";EC:1.14.14.154 1.14.15.36
14alpha-formylsteroid [CPD:C21921];EC:1.14.14.154 1.14.15.36
EC:1.3.1.70;"4,4-dimethyl-5alpha-cholesta-8,24-dien-3beta-ol [CPD:C05108];"
EC:1.3.1.70;NADP+ [CPD:C00006]
"4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol [CPD:C11455];";EC:1.3.1.70
"NADPH [CPD:C00005];";EC:1.3.1.70
H+ [CPD:C00080];EC:1.3.1.70
EC:5.3.3.5;5alpha-cholest-7-en-3beta-ol [CPD:C01189]
5alpha-cholest-8-en-3beta-ol [CPD:C03845];EC:5.3.3.5
EC:1.14.19.20;"Delta7-sterol;"
EC:1.14.19.20;"ferrocytochrome b5 [CPD:C00999];"
EC:1.14.19.20;"O2 [CPD:C00007];"
EC:1.14.19.20;H+ [CPD:C00080]
"Delta5,7-sterol;";EC:1.14.19.20
"ferricytochrome b5 [CPD:C00996];";EC:1.14.19.20
H2O [CPD:C00001];EC:1.14.19.20
EC:1.3.1.21;"cholesterol [CPD:C00187];"
EC:1.3.1.21;NADP+ [CPD:C00006]
"cholesta-5,7-dien-3beta-ol [CPD:C01164];";EC:1.3.1.21
"NADPH [CPD:C00005];";EC:1.3.1.21
H+ [CPD:C00080];EC:1.3.1.21
EC:1.3.1.72 1.3.1.-;"5alpha-cholest-7-en-3beta-ol [CPD:C01189];"
EC:1.3.1.72 1.3.1.-;NADP+ [CPD:C00006]
"5alpha-cholesta-7,24-dien-3beta-ol [CPD:C05439];";EC:1.3.1.72 1.3.1.-
"NADPH [CPD:C00005];";EC:1.3.1.72 1.3.1.-
H+ [CPD:C00080];EC:1.3.1.72 1.3.1.-
EC:5.4.99.7;(3S)-2,3-epoxy-2,3-dihydrosqualene [CPD:C01054]
lanosterol [CPD:C01724];EC:5.4.99.7
EC:1.14.18.9;"4,4-dimethyl-5alpha-cholest-7-en-3beta-ol [CPD:C04530];"
EC:1.14.18.9;"ferrocytochrome b5 [CPD:C00999];"
EC:1.14.18.9;"O2 [CPD:C00007];"
EC:1.14.18.9;"H+ [CPD:C00080];"
EC:1.14.18.9;"4alpha-hydroxymethyl-4beta-methyl-5alpha-cholest-7-en-3beta-ol [CPD:C04814];"
EC:1.14.18.9;3beta-hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde [CPD:C11509]
"3beta-hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate [CPD:C04840];";EC:1.14.18.9
"ferricytochrome b5 [CPD:C00996];";EC:1.14.18.9
"H2O [CPD:C00001];";EC:1.14.18.9
"4alpha-hydroxymethyl-4beta-methyl-5alpha-cholest-7-en-3beta-ol [CPD:C04814];";EC:1.14.18.9
3beta-hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde [CPD:C11509];EC:1.14.18.9
EC:1.1.1.170;"3beta-hydroxysteroid-4alpha-carboxylate [CPD:C22111];"
EC:1.1.1.170;"NAD+ [CPD:C00003];"
EC:1.1.1.170;NADP+ [CPD:C00006]
"3-oxosteroid [CPD:C01876];";EC:1.1.1.170
"CO2 [CPD:C00011];";EC:1.1.1.170
"NADH [CPD:C00004];";EC:1.1.1.170
NADPH [CPD:C00005];EC:1.1.1.170
EC:1.1.1.62 1.1.1.270;"17beta-estradiol;"
EC:1.1.1.62 1.1.1.270;"NAD+ [CPD:C00003];"
EC:1.1.1.62 1.1.1.270;NADP+ [CPD:C00006]
"estrone [CPD:C00468];";EC:1.1.1.62 1.1.1.270
"NADH [CPD:C00004];";EC:1.1.1.62 1.1.1.270
"NADPH [CPD:C00005];";EC:1.1.1.62 1.1.1.270
H+ [CPD:C00080];EC:1.1.1.62 1.1.1.270
EC:1.14.15.18;"calcidiol [CPD:C01561];"
EC:1.14.15.18;"reduced adrenodoxin [CPD:C00662];"
EC:1.14.15.18;"H+ [CPD:C00080];"
EC:1.14.15.18;"O2 [CPD:C00007];"
EC:1.14.15.18;secalciferol [CPD:C07712]
"calcitriol [CPD:C01673];";EC:1.14.15.18
"oxidized adrenodoxin [CPD:C00667];";EC:1.14.15.18
"H2O [CPD:C00001];";EC:1.14.15.18
calcitetrol [CPD:C18231];EC:1.14.15.18
EC:1.14.14.24;"calciol [CPD:C05443];"
EC:1.14.14.24;"O2 [CPD:C00007];"
EC:1.14.14.24;[reduced NADPH---hemoprotein reductase] [CPD:C03024]
"calcidiol [CPD:C01561];";EC:1.14.14.24
"[oxidized NADPH---hemoprotein reductase] [CPD:C03161];";EC:1.14.14.24
H2O [CPD:C00001];EC:1.14.14.24
EC:3.1.1.13;"steryl ester [CPD:C01958];"
EC:3.1.1.13;H2O [CPD:C00001]
"sterol [CPD:C00370];";EC:3.1.1.13
fatty acid [CPD:C00162];EC:3.1.1.13
EC:2.3.1.26;"long-chain acyl-CoA [CPD:C02843];"
EC:2.3.1.26;sterol [CPD:C00370]
"CoA [CPD:C00010];";EC:2.3.1.26
long-chain 3-hydroxysterol ester [CPD:C22215];EC:2.3.1.26
EC:1.14.15.16;"calcitriol [CPD:C01673];"
EC:1.14.15.16;"reduced adrenodoxin [CPD:C00662];"
EC:1.14.15.16;"H+ [CPD:C00080];"
EC:1.14.15.16;"O2 [CPD:C00007];"
EC:1.14.15.16;calcidiol [CPD:C01561]
"calcitetrol [CPD:C18231];";EC:1.14.15.16
"oxidized adrenodoxin [CPD:C00667];";EC:1.14.15.16
"H2O [CPD:C00001];";EC:1.14.15.16
secalciferol [CPD:C07712];EC:1.14.15.16
EC:2.5.1.21;"(2E,6E)-farnesyl diphosphate [CPD:C00448];"
EC:2.5.1.21;"NADH [CPD:C00004];"
EC:2.5.1.21;"NADPH [CPD:C00005];"
EC:2.5.1.21;"H+ [CPD:C00080];"
EC:2.5.1.21;presqualene diphosphate [CPD:C03428]
"squalene [CPD:C00751];";EC:2.5.1.21
"diphosphate [CPD:C00013];";EC:2.5.1.21
"NAD+ [CPD:C00003];";EC:2.5.1.21
"NADP+ [CPD:C00006];";EC:2.5.1.21
presqualene diphosphate [CPD:C03428];EC:2.5.1.21
EC:1.14.14.17;"squalene [CPD:C00751];"
EC:1.14.14.17;"[reduced NADPH---hemoprotein reductase] [CPD:C03024];"
EC:1.14.14.17;O2 [CPD:C00007]
"(3S)-2,3-epoxy-2,3-dihydrosqualene [CPD:C01054];";EC:1.14.14.17
"[oxidized NADPH---hemoprotein reductase] [CPD:C03161];";EC:1.14.14.17
H2O [CPD:C00001];EC:1.14.14.17
EC:1.14.99.38;"cholesterol [CPD:C00187];"
EC:1.14.99.38;"reduced acceptor [CPD:C00030];"
EC:1.14.99.38;O2 [CPD:C00007]
"25-hydroxycholesterol [CPD:C15519];";EC:1.14.99.38
"acceptor [CPD:C00028];";EC:1.14.99.38
H2O [CPD:C00001];EC:1.14.99.38
EC:1.14.14.29;"cholest-5-ene-3beta,25-diol [CPD:C15519];"
EC:1.14.14.29;"[reduced NADPH---hemoprotein reductase] [CPD:C03024];"
EC:1.14.14.29;"O2 [CPD:C00007];"
EC:1.14.14.29;(25R)-cholest-5-ene-3beta,26-diol
"cholest-5-ene-3beta,7alpha,25-triol [CPD:C15520];";EC:1.14.14.29
"[oxidized NADPH---hemoprotein reductase] [CPD:C03161];";EC:1.14.14.29
"H2O [CPD:C00001];";EC:1.14.14.29
(25R)-cholest-5-ene-3beta,7alpha,26-triol;EC:1.14.14.29
EC:1.14.14.25;"cholesterol [CPD:C00187];"
EC:1.14.14.25;"[reduced NADPH---hemoprotein reductase] [CPD:C03024];"
EC:1.14.14.25;O2 [CPD:C00007]
"(24S)-cholest-5-ene-3beta,24-diol [CPD:C13550];";EC:1.14.14.25
"[oxidized NADPH---hemoprotein reductase] [CPD:C03161];";EC:1.14.14.25
H2O [CPD:C00001];EC:1.14.14.25
EC:1.14.14.26;"(24S)-cholest-5-ene-3beta,24-diol [CPD:C13550];"
EC:1.14.14.26;"[reduced NADPH---hemoprotein reductase] [CPD:C03024];"
EC:1.14.14.26;O2 [CPD:C00007]
"(24S)-cholest-5-ene-3beta,7alpha,24-triol [CPD:C15518];";EC:1.14.14.26
"[oxidized NADPH---hemoprotein reductase] [CPD:C03161];";EC:1.14.14.26
H2O [CPD:C00001];EC:1.14.14.26
EC:1.14.15.15;"5beta-cholestane-3alpha,7alpha,12alpha-triol [CPD:C05454];"
EC:1.14.15.15;"reduced adrenodoxin [CPD:C00662];"
EC:1.14.15.15;"H+ [CPD:C00080];"
EC:1.14.15.15;"O2 [CPD:C00007];"
EC:1.14.15.15;"(25R)-5beta-cholestane-3alpha,7alpha,12alpha,26-tetraol;"
EC:1.14.15.15;(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al
"(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oate;";EC:1.14.15.15
"oxidized adrenodoxin [CPD:C00667];";EC:1.14.15.15
"H2O [CPD:C00001];";EC:1.14.15.15
"(25R)-5beta-cholestane-3alpha,7alpha,12alpha,26-tetraol;";EC:1.14.15.15
(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al;EC:1.14.15.15
EC:1.14.14.23;"cholesterol [CPD:C00187];"
EC:1.14.14.23;"[reduced NADPH---hemoprotein reductase] [CPD:C03024];"
EC:1.14.14.23;O2 [CPD:C00007]
"7alpha-hydroxycholesterol [CPD:C03594];";EC:1.14.14.23
"[oxidized NADPH---hemoprotein reductase] [CPD:C03161];";EC:1.14.14.23
H2O [CPD:C00001];EC:1.14.14.23
EC:1.1.1.181;"cholest-5-ene-3beta,7alpha-diol [CPD:C03594];"
EC:1.1.1.181;NAD+ [CPD:C00003]
"7alpha-hydroxycholest-4-en-3-one [CPD:C05455];";EC:1.1.1.181
"NADH [CPD:C00004];";EC:1.1.1.181
H+ [CPD:C00080];EC:1.1.1.181
EC:1.14.18.8 1.14.14.139;"7alpha-hydroxycholest-4-en-3-one [CPD:C05455];"
EC:1.14.18.8 1.14.14.139;"ferrocytochrome b5 [CPD:C00999];"
EC:1.14.18.8 1.14.14.139;"H+ [CPD:C00080];"
EC:1.14.18.8 1.14.14.139;O2 [CPD:C00007]
"7alpha,12alpha-dihydroxycholest-4-en-3-one;";EC:1.14.18.8 1.14.14.139
"ferricytochrome b5 [CPD:C00996];";EC:1.14.18.8 1.14.14.139
+ H2O;EC:1.14.18.8 1.14.14.139
EC:1.3.1.3;"5beta-cholestan-3-one [CPD:C03091];"
EC:1.3.1.3;"NADP+ [CPD:C00006];"
EC:1.3.1.3;17,21-dihydroxy-5beta-pregnane-3,11,20-trione
"cholest-4-en-3-one [CPD:C00599];";EC:1.3.1.3
"NADPH [CPD:C00005];";EC:1.3.1.3
"H+ [CPD:C00080];";EC:1.3.1.3
cortisone [CPD:C00762];EC:1.3.1.3
EC:1.1.1.50 1.1.1.357 1.1.1.225;"3alpha-hydroxysteroid [CPD:C03072];"
EC:1.1.1.50 1.1.1.357 1.1.1.225;"NAD+ [CPD:C00003];"
EC:1.1.1.50 1.1.1.357 1.1.1.225;NADP+ [CPD:C00006]
"3-oxosteroid [CPD:C01876];";EC:1.1.1.50 1.1.1.357 1.1.1.225
"NADH [CPD:C00004];";EC:1.1.1.50 1.1.1.357 1.1.1.225
"NADPH [CPD:C00005];";EC:1.1.1.50 1.1.1.357 1.1.1.225
H+ [CPD:C00080];EC:1.1.1.50 1.1.1.357 1.1.1.225
EC:6.2.1.7;"ATP [CPD:C00002];"
EC:6.2.1.7;"cholate [CPD:C00695];"
EC:6.2.1.7;"CoA [CPD:C00010];"
EC:6.2.1.7;(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oate
"AMP [CPD:C00020];";EC:6.2.1.7
"diphosphate [CPD:C00013];";EC:6.2.1.7
"choloyl-CoA [CPD:C01794];";EC:6.2.1.7
(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA;EC:6.2.1.7
EC:5.1.99.4;(2S)-2-methylacyl-CoA [CPD:C05232]
(2R)-2-methylacyl-CoA [CPD:C05329];EC:5.1.99.4
EC:1.17.99.3;"(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA [CPD:C15613];"
EC:1.17.99.3;"H2O [CPD:C00001];"
EC:1.17.99.3;acceptor [CPD:C00028]
"(24R,25R)-3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestan-26-oyl-CoA [CPD:C15614];";EC:1.17.99.3
reduced acceptor [CPD:C00030];EC:1.17.99.3
EC:2.3.1.176;"3alpha,7alpha,12alpha-trihydroxy-5beta-cholanoyl-CoA [CPD:C01794];"
EC:2.3.1.176;propanoyl-CoA [CPD:C00100]
"CoA [CPD:C00010];";EC:2.3.1.176
3alpha,7alpha,12alpha-trihydroxy-24-oxo-5beta-cholestanoyl-CoA [CPD:C05467];EC:2.3.1.176
EC:2.3.1.65 3.1.2.2;"choloyl-CoA [CPD:C01794];"
EC:2.3.1.65 3.1.2.2;glycine [CPD:C00037]
"CoA [CPD:C00010];";EC:2.3.1.65 3.1.2.2
glycocholate [CPD:C01921];EC:2.3.1.65 3.1.2.2
EC:3.1.2.27;"choloyl-CoA [CPD:C01794];"
EC:3.1.2.27;H2O [CPD:C00001]
"cholate [CPD:C00695];";EC:3.1.2.27
CoA [CPD:C00010];EC:3.1.2.27
EC:1.13.11.27;"4-hydroxyphenylpyruvate [CPD:C01179];"
EC:1.13.11.27;O2 [CPD:C00007]
"homogentisate [CPD:C00544];";EC:1.13.11.27
CO2 [CPD:C00011];EC:1.13.11.27
EC:2.6.1.5;"L-tyrosine [CPD:C00082];"
EC:2.6.1.5;2-oxoglutarate [CPD:C00026]
"4-hydroxyphenylpyruvate [CPD:C01179];";EC:2.6.1.5
L-glutamate [CPD:C00025];EC:2.6.1.5
EC:2.1.1.201;"S-adenosyl-L-methionine [CPD:C00019];"
EC:2.1.1.201;2-methoxy-6-all-trans-polyprenyl-1,4-benzoquinol [CPD:C19858]
"S-adenosyl-L-homocysteine [CPD:C00021];";EC:2.1.1.201
6-methoxy-3-methyl-2-all-trans-polyprenyl-1,4-benzoquinol [CPD:C19859];EC:2.1.1.201
EC:1.14.99.60;"6-methoxy-3-methyl-2-all-trans-polyprenyl-1,4-benzoquinol [CPD:C19859];"
EC:1.14.99.60;"reduced acceptor [CPD:C00030];"
EC:1.14.99.60;O2 [CPD:C00007]
"3-demethylubiquinol [CPD:C21860];";EC:1.14.99.60
"acceptor [CPD:C00028];";EC:1.14.99.60
H2O [CPD:C00001];EC:1.14.99.60
EC:2.1.1.114 2.1.1.64;"S-adenosyl-L-methionine [CPD:C00019];"
EC:2.1.1.114 2.1.1.64;3,4-dihydroxy-5-all-trans-polyprenylbenzoate
"S-adenosyl-L-homocysteine [CPD:C00021];";EC:2.1.1.114 2.1.1.64
3-methoxy-4-hydroxy-5-all-trans-polyprenylbenzoate;EC:2.1.1.114 2.1.1.64
EC:1.6.5.2;"NADH [CPD:C00004];"
EC:1.6.5.2;"NADPH [CPD:C00005];"
EC:1.6.5.2;"H+ [CPD:C00080];"
EC:1.6.5.2;quinone [CPD:C15602]
"NAD+ [CPD:C00003];";EC:1.6.5.2
"NADP+ [CPD:C00006];";EC:1.6.5.2
hydroquinone [CPD:C15603];EC:1.6.5.2
EC:4.1.1.90;"peptidyl-4-carboxyglutamate [CPD:C06246];"
EC:4.1.1.90;"2,3-epoxyphylloquinone [CPD:C05849];"
EC:4.1.1.90;H2O [CPD:C00001]
"peptidyl-glutamate [CPD:C06247];";EC:4.1.1.90
"CO2 [CPD:C00011];";EC:4.1.1.90
"O2 [CPD:C00007];";EC:4.1.1.90
phylloquinol [CPD:C03313];EC:4.1.1.90
EC:1.17.4.4;"phylloquinone [CPD:C02059];"
EC:1.17.4.4;"protein with a disulfide bond;"
EC:1.17.4.4;"H2O [CPD:C00001];"
EC:1.17.4.4;phylloquinol [CPD:C03313]
"2,3-epoxyphylloquinone [CPD:C05849];";EC:1.17.4.4
"protein with reduced L-cysteine residues;";EC:1.17.4.4
phylloquinone [CPD:C02059];EC:1.17.4.4
EC:3.1.6.2;"3beta-hydroxyandrost-5-en-17-one 3-sulfate [CPD:C04555];"
EC:3.1.6.2;H2O [CPD:C00001]
"3beta-hydroxyandrost-5-en-17-one [CPD:C01227];";EC:3.1.6.2
sulfate [CPD:C00059];EC:3.1.6.2
EC:1.14.15.6;"cholesterol [CPD:C00187];"
EC:1.14.15.6;"reduced adrenodoxin [CPD:C00662];"
EC:1.14.15.6;"O2 [CPD:C00007];"
EC:1.14.15.6;"H+ [CPD:C00080];"
EC:1.14.15.6;"(22R)-22-hydroxycholesterol [CPD:C05502];"
EC:1.14.15.6;(20R,22R)-20,22-dihydroxy-cholesterol
"pregnenolone [CPD:C01953];";EC:1.14.15.6
"4-methylpentanal [CPD:C02373];";EC:1.14.15.6
"oxidized adrenodoxin [CPD:C00667];";EC:1.14.15.6
"H2O [CPD:C00001];";EC:1.14.15.6
"(22R)-22-hydroxycholesterol [CPD:C05502];";EC:1.14.15.6
(20R,22R)-20,22-dihydroxycholesterol;EC:1.14.15.6
EC:2.8.2.2;"3'-phosphoadenylyl sulfate [CPD:C00053];"
EC:2.8.2.2;alcohol [CPD:C00069]
"adenosine 3',5'-bisphosphate [CPD:C00054];";EC:2.8.2.2
alkyl sulfate [CPD:C02000];EC:2.8.2.2
EC:1.14.14.19 1.14.14.32;"C21-steroid;"
EC:1.14.14.19 1.14.14.32;"[reduced NADPH---hemoprotein reductase] [CPD:C03024];"
EC:1.14.14.19 1.14.14.32;O2 [CPD:C00007]
"17alpha-hydroxy-C21-steroid;";EC:1.14.14.19 1.14.14.32
"[oxidized NADPH---hemoprotein reductase] [CPD:C03161];";EC:1.14.14.19 1.14.14.32
H2O [CPD:C00001];EC:1.14.14.19 1.14.14.32
EC:1.14.14.16;"C21 steroid;"
EC:1.14.14.16;"[reduced NADPH---hemoprotein reductase] [CPD:C03024];"
EC:1.14.14.16;O2 [CPD:C00007]
"21-hydroxy-C21-steroid;";EC:1.14.14.16
"[oxidized NADPH---hemoprotein reductase] [CPD:C03161];";EC:1.14.14.16
H2O [CPD:C00001];EC:1.14.14.16
EC:1.1.1.145 5.3.3.1;"3beta-hydroxy-Delta5-steroid [CPD:C03836];"
EC:1.1.1.145 5.3.3.1;NAD+ [CPD:C00003]
"3-oxo-Delta5-steroid [CPD:C01034];";EC:1.1.1.145 5.3.3.1
"NADH [CPD:C00004];";EC:1.1.1.145 5.3.3.1
H+ [CPD:C00080];EC:1.1.1.145 5.3.3.1
EC:1.3.1.22;"3-oxo-5alpha-steroid [CPD:C02940];"
EC:1.3.1.22;NADP+ [CPD:C00006]
"3-oxo-Delta4-steroid [CPD:C00619];";EC:1.3.1.22
"NADPH [CPD:C00005];";EC:1.3.1.22
H+ [CPD:C00080];EC:1.3.1.22
EC:1.1.1.213 1.1.1.357;"3alpha-hydroxysteroid [CPD:C03072];"
EC:1.1.1.213 1.1.1.357;"NAD+ [CPD:C00003];"
EC:1.1.1.213 1.1.1.357;NADP+ [CPD:C00006]
"3-oxosteroid [CPD:C01876];";EC:1.1.1.213 1.1.1.357
"NADH [CPD:C00004];";EC:1.1.1.213 1.1.1.357
"NADPH [CPD:C00005];";EC:1.1.1.213 1.1.1.357
H+ [CPD:C00080];EC:1.1.1.213 1.1.1.357
EC:1.14.15.4;"steroid [CPD:C00377];"
EC:1.14.15.4;"reduced adrenodoxin [CPD:C00662];"
EC:1.14.15.4;"O2 [CPD:C00007];"
EC:1.14.15.4;H+ [CPD:C00080]
"11beta-hydroxysteroid [CPD:C01058];";EC:1.14.15.4
"oxidized adrenodoxin [CPD:C00667];";EC:1.14.15.4
H2O [CPD:C00001];EC:1.14.15.4
EC:1.1.1.146;"11beta-hydroxysteroid [CPD:C01058];"
EC:1.1.1.146;NADP+ [CPD:C00006]
"11-oxosteroid [CPD:C01985];";EC:1.1.1.146
"NADPH [CPD:C00005];";EC:1.1.1.146
H+ [CPD:C00080];EC:1.1.1.146
EC:1.1.1.149 1.1.1.357 1.3.1.20;"17alpha,20alpha-dihydroxypregn-4-en-3-one [CPD:C04518];"
EC:1.1.1.149 1.1.1.357 1.3.1.20;"NAD+ [CPD:C00003];"
EC:1.1.1.149 1.1.1.357 1.3.1.20;NADP+ [CPD:C00006]
"17alpha-hydroxyprogesterone [CPD:C01176];";EC:1.1.1.149 1.1.1.357 1.3.1.20
"NADH [CPD:C00004];";EC:1.1.1.149 1.1.1.357 1.3.1.20
"NADPH [CPD:C00005];";EC:1.1.1.149 1.1.1.357 1.3.1.20
H+ [CPD:C00080];EC:1.1.1.149 1.1.1.357 1.3.1.20
EC:1.1.1.51 1.1.1.188 1.1.1.213 1.1.1.357;"testosterone [CPD:C00535];"
EC:1.1.1.51 1.1.1.188 1.1.1.213 1.1.1.357;"NAD+ [CPD:C00003];"
EC:1.1.1.51 1.1.1.188 1.1.1.213 1.1.1.357;NADP+ [CPD:C00006]
"androstenedione [CPD:C00280];";EC:1.1.1.51 1.1.1.188 1.1.1.213 1.1.1.357
"NADH [CPD:C00004];";EC:1.1.1.51 1.1.1.188 1.1.1.213 1.1.1.357
"NADPH [CPD:C00005];";EC:1.1.1.51 1.1.1.188 1.1.1.213 1.1.1.357
H+ [CPD:C00080];EC:1.1.1.51 1.1.1.188 1.1.1.213 1.1.1.357
EC:1.14.14.1;"RH [CPD:C01371];"
EC:1.14.14.1;"[reduced NADPH---hemoprotein reductase] [CPD:C03024];"
EC:1.14.14.1;O2 [CPD:C00007]
"ROH [CPD:C01335];";EC:1.14.14.1
"[oxidized NADPH---hemoprotein reductase] [CPD:C03161];";EC:1.14.14.1
H2O [CPD:C00001];EC:1.14.14.1
EC:1.14.14.14;"testosterone [CPD:C00535];"
